Sl.No.,Poem,Source,Primary
57,சிறைகாக்கும் காப்பெவன் செய்யும் மகளிர் நிறைகாக்கும் காப்பே தலை.,Tamil,Love
58,பெற்றாற் பெறின்பெறுவர் பெண்டிர் பெருஞ்சிறப்புப் புத்தேளிர் வாழும் உலகு.,Tamil,Love
59,புகழ்புரிந்த இல்லிலோர்க்கு இல்லை இகழ்வார்முன் ஏறுபோல் பீடு நடை.,Tamil,Love
60,மங்கலம் என்ப மனைமாட்சி மற்று அதன் நன்கலம் நன்மக்கட் பேறு.,Tamil,Love
61,பெறுமவற்றுள் யாமறிவது இல்லை அறிவறிந்த மக்கட்பேறு அல்ல பிற.,Tamil,Joy
62,எழுபிறப்பும் தீயவை தீண்டா பழிபிறங்காப் பண்புடை மக்கட் பெறின்.,Tamil,Joy
63,தம்பொருள் என்பதம் மக்கள் அவர்பொருள் தம்தம் வினையான் வரும்.,Tamil,Joy
64,அமிழ்தினும் ஆற்ற இனிதேதம் மக்கள் சிறுகை அளாவிய கூழ்.,Tamil,Joy
65,மக்கள்மெய் தீண்டல் உடற்கின்பம் மற்று அவர் சொற்கேட்டல் இன்பம் செவிக்கு.,Tamil,Joy
66,குழல் இனிது யாழ்இனிது என்பதம் மக்கள் மழலைச்சொல் கேளா தவர்.,Tamil,Joy
67,தந்தை மகற்காற்று நன்றி அவையத்து முந்தி இருப்பச் செயல்.,Tamil,Joy
68,தம்மின்தம் மக்கள் அறிவுடைமை மாநிலத்து மன்னுயிர்க் கெல்லாம் இனிது.,Tamil,Joy
69,ஈன்ற பொழுதின் பெரிதவக்கும் தன்மகனைச் சான்றோன் எனக்கேட்ட தாய்.,Tamil,Joy
70,மகன்தந்தைக்கு ஆற்றும் உதவி இவன்தந்தை என்நோற்றான் கொல் எனும் சொல்.,Tamil,Joy
71,அன்பிற்கும் உண்டோ அடைக்குந்தாழ் ஆர்வலர் புன்கணீர் பூசல் தரும்.,Tamil,Pride
72,அன்பிலார் எல்லாம் தமக்குரியர் அன்புடையார் என்பும் உரியர் பிறர்க்கு.,Tamil,Pride
73,அன்போடு இயைந்த வழக்கென்ப ஆருயிர்க்கு என்போடு இயைந்த தொடர்பு.,Tamil,Pride
74,அன்பு ஈனும் ஆர்வம் உடைமை அதுஈனும் நண்பு என்னும் நாடாச் சிறப்பு.,Tamil,Pride
75,அன்புற்று அமர்ந்த வழக்கென்ப வையகத்து இன்புற்றார் எய்தும் சிறப்பு.,Tamil,Pride
76,அறத்திற்கே அன்புசார் பென்ப அறியார் மறத்திற்கும் அஃதே துணை.,Tamil,Pride
77,என்பி லதனை வெயில்போலக் காயுமே அன்பி லதனை அறம்.,Tamil,Pride
78,அன்பகத் தில்லா உயிர்வாழ்க்கை வன்பாற்கண் வற்றல் மரந்தளிர்த் தற்று.,Tamil,Pride
79,புறத்துறுப் பெல்லாம் எவன்செய்பு ம் யாக்கை அகத்துறுப்பு அன்பி லவர்க்கு.,Tamil,Pride
80,அன்பின் வழியது உயிர்நிலை அஃதிலார்க்கு என்புதோல் போர்த்த உடம்பு.,Tamil,Pride
81,இருந்தோம்பி இல்வாழ்வ தெல்லாம் விருந்தோம்பி வேளாண்மை செய்தற் பொருட்டு.,Tamil,Love
82,விருந்து புறத்ததாத் தானுண்டல் சாவா மருந்தெனினும் வேண் டற்பாற் றன்று.,Tamil,Love
83,வருவிருந்து வைகலும் ஓம்புவான் வாழ்க்கை பருவந்து பாழ்படுதல் இன்று.,Tamil,Love
84,அகனமர்ந்து செய்யாள் உறையும் முகனமர்ந்து நல்விருந்து ஓம்புவான் இல்.,Tamil,Love
85,வித்தும் இடல்வேண்டும் கொல்லோ விருந்தோம்பி மிச்சில் மிசைவான் புலம்.,Tamil,Love
86,செல்விருந்து ஓம்பி வருவிருந்து பார்த்திருப்பான் நல்வருந்து வானத் தவர்க்கு.,Tamil,Love
87,இனைத்துணைத் தென்பதொன் றில்லை விருந்தின் துணைத்துணை வேள்விப் பயன்.,Tamil,Love
88,பரிந்தோம்பிப் பற்றற்றேம் என்பர் விருந்தோம்பி வேள்வி தலைப்படா தார்.,Tamil,Love
89,உடைமையுள் இன்மை விருந்தோம்பல் ஓம்பா மடமை மடவார்கண் உண்டு.,Tamil,Love
90,மோப்பக் குழையும் அனிச்சம் முகந்திரிந்து நோக்கக் குழையும் விருந்து.,Tamil,Love
91,இன்சொலால் ஈரம் அளைஇப் படிறுஇலவாம் செம்பொருள் கண்டார்வாய்ச் சொல்.,Tamil,Gratitude
92,அகன்அமர்ந்து ஈதலின் நன்றே முகனமர்ந்து இன்சொலன் ஆகப் பெறின்.,Tamil,Gratitude
93,முகத்தான் அமர்ந் துஇனிது நோக்கி அகத்தானாம் இன்சொ லினதே அறம்.,Tamil,Gratitude
94,துன்புறூஉம் துவ்வாமை இல்லாகும் யார்மாட்டும் இன்புறூஉம் இன்சொ லவர்க்கு.,Tamil,Gratitude
95,பணிவுடையன் இன்சொலன் ஆதல் ஒருவற்கு அணியல்ல மற்றுப் பிற.,Tamil,Gratitude
96,அல்லவை தேய அறம்பெருகும் நல்லவை நாடி இனிய சொலின்,Tamil,Gratitude
97,நயன் ஈன்று நன்றி பயக்கும் பயன்ஈன்று பண்பின் தலைப்பிரியாச் சொல்.,Tamil,Gratitude
98,சிறுமையுவு நீங்கிய இன்சொல் மறுமையும் இம்மையும் இன்பம் தரும்.,Tamil,Gratitude
99,இன்சொல் இனிதீன்றல் காண்பான் எவன்கொலோ வன்சொல் வழங்கு வது?,Tamil,Gratitude
100,இனிய உளவாக இன்னாத கூறல் கனிஇருப்பக் காய்கவர்ந் தற்று.,Tamil,Gratitude
101,செய்யாமல் செய்த உதவிக்கு வையகமும் வானகமும் ஆற்றல் அரிது.,Tamil,Joy
102,காலத்தி னாற்செய்த நன்றி சிறிதெனினும் ஞாலத்தின் மாணப் பெரிது.,Tamil,Joy
103,பயன்தூக்கார் செய்த உதவி நயன்தூக்கின் நன்மை கடலின் பெரிது.,Tamil,Joy
104,தினைத்துணை நன்றி செயினும் பனைத்துணையாக் கொள்வர் பயன்தெரி வார்.,Tamil,Joy
105,உதவி வரைத்தன்று உதவி உதவி செயப்பட்டார் சால்பின் வரைத்து.,Tamil,Joy
106,மறவற்க மாசற்றார் கேண்மை துறவற்க துன்பத்துள் துப்பாயார் நட்பு.,Tamil,Joy
107,எழுமை எழுபிறப்பும் உள்ளுவர் தங்கண் விழுமந் துடைத்தவர் நட்பு.,Tamil,Joy
108,நன்றி மறப்பது நன்றன்று நன்றல்லது அன்றே மறப்பது நன்று.,Tamil,Joy
109,கொன்றன்ன இன்னா செயினும் அவர்செய்த ஒன்றுநன்று உள்ளக் கெடும்.,Tamil,Joy
110,எந்நன்றி கொன்றார்க்கும் உய்வுண்டாம் உய்வில்லை செய்ந்நன்றி கொன்ற மகற்கு.,Tamil,Joy
111,தகுதி எனவொன்று நன்றே பகுதியால் பாற்பட்டு ஒழுகப் பெறின்.,Tamil,Contentment
112,செப்பம் உடையவன் ஆக்கஞ் சிதைவின்றி எச்சத்திற் கேமாப்பு உடைத்து.,Tamil,Contentment
113,நன்றே தரினும் நடுவிகந்தாம் ஆக்கத்தை அன்றே யொழிய விடல்.,Tamil,Contentment
114,தக்கார் தகவிலர் என்பது அவரவர் எச்சத்தாற் காணப்ப படும்.,Tamil,Contentment
115,கேடும் பெருக்கமும் இல்லல்ல நெஞ்சத்துக் கோடாமை சான்றோர்க் கணி.,Tamil,Contentment
116,கெடுவல்யான் என்பது அறிகதன் நெஞ்சம் நடுவொரீஇ அல்ல செயின்.,Tamil,Contentment
117,கெடுவாக வையாது உலகம் நடுவாக நன்றிக்கண் தங்கியான் தாழ்வு.,Tamil,Contentment
118,சமன்செய்து சீர்தூக்குங் கோல்போல் அமைந்தொருபால் கோடாமை சான்றோர்க் கணி.,Tamil,Contentment
119,சொற்கோட்டம் இல்லது செப்பம் ஒருதலையா உட்கோட்டம் இன்மை பெறின்.,Tamil,Contentment
120,வாணிகம் செய்வார்க்கு வாணிகம் பேணிப் பிறவும் தமபோல் செயின்.,Tamil,Contentment
121,அடக்கம் அமரருள் உய்க்கும் அடங்காமை ஆரிருள் உய்த்து விடும்.,Tamil,Compassion
122,காக்க பொருளா அடக்கத்தை ஆக்கம் அதனினூஉங் கில்லை உயிர்க்கு.,Tamil,Compassion
123,செறிவறிந்து சீர்மை பயக்கும் அறிவறிந்து ஆற்றின் அடங்கப் பெறின்.,Tamil,Compassion
124,நிலையின் திரியாது அடங்கியான் தோற்றம் மலையினும் மாணப் பெரிது.,Tamil,Compassion
125,எல்லார்க்கும் நன்றாம் பணிதல் அவருள்ளும் செல்வர்க்கே செல்வம் தகைத்து.,Tamil,Compassion
126,ஒருநம்யுள் ஆமைபோல் ஐந்தடக்கல் ஆற்றின் எழுநம்யும் ஏமாப் புடைத்து.,Tamil,Compassion
127,யாகாவா ராயினும் நாகாக்க காவாக்கால் சோகாப்பர் சொல்லிழுக்குப் பட்டு.,Tamil,Compassion
128,ஒன்றானுந் தீச்சொல் பொருட்பயன் உண்டாயின் நன்றாகா தாகி விடும்.,Tamil,Compassion
129,தீயினாற் சுட்டபுண் உள்ளாறும் ஆறாதே நாவினாற் சுட்ட வடு.,Tamil,Compassion
130,கதங்காத்துக் கற்றடங்கல் ஆற்றுவான் செவ்வி அறம்பார்க்கும் ஆற்றின் நுழைந்து.,Tamil,Compassion
131,ஒழுக்கம் விழுப்பந் தரலான் ஒழுக்கம் உயிரினும் ஓம்பப் படும்.,Tamil,Kindness
132,பரிந்தோம்பிக் காக்க ஒழுக்கம் தெரிந்தோம்பித் தேரினும் அஃதே துணை.,Tamil,Kindness
133,ஒழுக்கம் உடைமை குடிமை இழுக்கம் இழிந்த பிறப்பாய் விடும்.,Tamil,Kindness
134,மறப்பினும் ஓத்துக் கொளலாகும் பார்ப்பான் பிறப்பொழுக்கங் குன்றக் கெடும்.,Tamil,Kindness
135,அழுக்கா றுடையான்கண் ஆக்கம்போன்று இல்லை ஒழுக்க மிலான்கண் உயர்வு.,Tamil,Kindness
136,ஒழுக்கத்தின் ஒல்கார் உரவோர் இழுக்கத்தின் ஏதம் படுபாக் கறிந்து.,Tamil,Kindness
137,ஒழுக்கத்தின் எய்துவர் மேன்மை இழுக்கத்தின் எய்துவர் எய்தாப் பழி.,Tamil,Kindness
138,நன்றிக்கு வித்தாகும் நல்லொழுக்கம் தீயொழுக்கம் என்றும் இடும்பை தரும்.,Tamil,Kindness
139,ஒழுக்க முடையவர்க்கு ஒல்லாவே தீய வழுக்கியும் வாயாற் சொலல்.,Tamil,Kindness
140,உலகத்தோடு ஒட்ட ஒழுகல் பலகற்றும் கல்லார் அறிவிலா தார்,Tamil,Kindness
141,பிறன்பொருளாள் பெட்டொழுகும் பேதைமை ஞாலத்து அறம்பொருள் கண்டார்கண் இல்.,Tamil,Generosity
142,அறன்கடை நின்றாருள் எல்லாம் பிறன்கடை நின்றாரின் பேதையார் இல்.,Tamil,Generosity
143,விளிந்தாரின் வேறல்லர் மன்ற தெளிந்தாரில் தீமை புரிந்து ஒழுகு வார்.,Tamil,Generosity
144,எனைத்துணையர் ஆயினும் என்னாம் தினைத்துணையும் தேரான் பிறனில் புகல்.,Tamil,Generosity
145,எளிதென இல்லிறப்பான் எய்துமெஞ் ஞான்றும் விளியாது நிற்கும் பழி.,Tamil,Generosity
146,பகைபாவம் அச்சம் பழியென நான்கும் இகவாவாம் இல்லிறப்பான் கண்.,Tamil,Generosity
147,அறனியலான் இல்வாழ்வான் என்பான் பிறனியலாள் பெண்மை நயவா தவன்.,Tamil,Generosity
148,பிறன்மனை நோக்காத பேராண்மை சான்றோர்க்கு அறனொன்றோ ஆன்ற வொழுக்கு.,Tamil,Generosity
149,நலக்குரியார் யாரெனின் நாமநீர் வைப்பின் பிறர்க்குரியாள் தோள்தோயா தார்.,Tamil,Generosity
150,அறன்வரையான் அல்ல செயினும் பிறன்வரையாள் பெண்மை நயவாமை நன்று.,Tamil,Generosity
151,அகழ்வாரைத் தாங்கும் நிலம்போலத் தம்மை இகழ்வார்ப் பொறுத்தல் தலை.,Tamil,Hospitality
152,பொறுத்தல் இறப்பினை என்றும் அதனை மறத்தல் அதனினும் நன்று.,Tamil,Hospitality
153,இன்நம்யுள் இன்மை விருந்தொரால் வன்மையுள் வன்மை மடவார்ப் பொறை.,Tamil,Hospitality
154,நிறையுடைமை நீங்காமை வேண்டின் பொற்யுடைமை போற்றி யொழுகப் படும்.,Tamil,Hospitality
155,ஒறுத்தாரை ஒன்றாக வையாரே வைப்பர் பொறுத்தாரைப் பொன்போற் பொதிந்து.,Tamil,Hospitality
156,ஒறுத்தார்க்கு ஒருநாளை இன்பம் பொறுத்தார்க்குப் பொன்றுந் துணையும் புகழ்.,Tamil,Hospitality
157,திறனல்ல தற்பிறர் செய்யினும் நோநொந்து அறனல்ல செய்யாமை நன்று.,Tamil,Hospitality
158,மிகுதியான் மிக்கவை செய்தாரைத் தாந்தம் தகுதியான் வென்று விடல்.,Tamil,Hospitality
159,துறந்தாரின் தூய்மை உடையர் இறந்தார்வாய் இன்னாச்சொல் நோற்கிற் பவர்.,Tamil,Hospitality
160,உண்ணாது நோற்பார் பெரியர் பிறர்சொல்லும் இன்னாச்சொல் நோற்பாரின் பின்.,Tamil,Hospitality
161,ஒழுக்காறாக் கொள்க ஒருவன்தன் நெஞ்சத்து அழுக்காறு இலாத இயல்பு.,Tamil,Kindness
162,விழுப்பேற்றின் அஃதொப்பது இல்லையார் மாட்டும் அழுக்காற்றின் அன்மை பெறின்.,Tamil,Kindness
163,அறன்ஆக்கம் வேண்டாதான் என்பான் பிறனாக்கம் பேணாது அழுக்கறுப் பான்.,Tamil,Kindness
164,அழுக்காற்றின் அல்லவை செய்யார் இழுக்காற்றின் ஏதம் படுபாக்கு அறிந்து.,Tamil,Kindness
165,அழுக்காறு உடையார்க்கு அதுசாலும் ஒன்னார் வழுக்காயும் கேடீன் பது.,Tamil,Kindness
166,கொடுப்பது அழுக்கறுப்பான் சுற்றம் உடுப்பதூஉம் உண்பதூஉம் இன்றிக் கெடும்.,Tamil,Kindness
167,அவ்வித்து அழுக்காறு உடையானைச் செய்யவள் தவ்வையைக் காட்டி விடும்.,Tamil,Kindness
168,அழுக்காறு எனஒரு பாவி திருச்செற்றுத் தீயுழி உய்த்து விடும்.,Tamil,Kindness
169,அவ்விய நெஞ்சத்தான் ஆக்கமும் செவ்வியான் கேடும் நினைக்கப் படும்.,Tamil,Kindness
170,அழுக்கற்று அகன்றாரும் இல்லை அஃதுஇல்லார் பெருக்கத்தில் தீர்ந்தாரும் இல்.,Tamil,Kindness
171,நடுவின்றி நன்பொருள் வெஃகின் குடிபொன்றிக் குற்றமும் ஆங்கே தரும்.,Tamil,Joy
172,படுபயன் வெஃகிப் பழிப்படுவ செய்யார் நடுவன்மை நாணு பவர்.,Tamil,Joy
173,சிற்றின்பம் வெஃகி அறனல்ல செய்யாரே மற்றின்பம் வேண்டு பவர்.,Tamil,Joy
174,இலமென்று வெஃகுதல் செய்யார் புலம்வென்ற புன்மையில் காட்சி யவர்.,Tamil,Joy
175,அஃகி அகன்ற அறிவென்னாம் யார்மாட்டும் வெஃகி வெறிய செயின்.,Tamil,Joy
176,அருள்வெஃகி ஆற்றின்கண் நின்றான் பொருள்வெஃகிப் பொல்லாத சூழக் கெடும்.,Tamil,Joy
177,வேண்டற்க வெஃகியாம் ஆக்கம் விளைவயின் மாண்டற் கரிதாம் பயன்.,Tamil,Joy
178,அஃகாமை செல்வத்திற்கு யாதெனின் வெஃகாமை வேண்டும் பிறன்கைப் பொருள்.,Tamil,Joy
179,அறனறிந்து வெஃகா அறிவுடையார்ச் சேரும் திறன்அறிந் தாங்கே திரு.,Tamil,Joy
180,இறலீனும் எண்ணாது வெஃகின் விறல்ஈனும் வேண்டாமை என்னுஞ் செருக்கு.,Tamil,Joy
181,அறங்கூறான் அல்ல செயினும் ஒருவன் புறங்கூறான் என்றல் இனிது.,Tamil,Gratitude
182,அறனழீஇ அல்லவை செய்தலின் தீதே புறனழீஇப் பொய்த்து நகை.,Tamil,Gratitude
183,புறங்கூறிப் பொய்த்துயிர் வாழ்தலின் சாதல் அறங்கூற்றும் ஆக்கத் தரும்.,Tamil,Gratitude
184,கண்ணின்று கண்ணறச் சொல்லினும் சொல்லற்க முன்னின்று பின்நோக்காச் சொல்.,Tamil,Gratitude
185,அறஞ்சொல்லும் நெஞ்சத்தான் அன்மை புறஞ்சொல்லும் புன்மையாற் காணப் படும்.,Tamil,Gratitude
186,பிறன்பழி கூறுவான் தன்பழி யுள்ளும் திறன்தெரிந்து கூறப் படும்.,Tamil,Gratitude
187,பகச்சொல்லிக் கேளிர்ப் பிரிப்பர் நகச்சொல்லி நட்பாடல் தேற்றா தவர்.,Tamil,Gratitude
188,துன்னியார் குற்றமும் தூற்றும் மரபினார் என்னைகொல் ஏதிலார் மாட்டு.,Tamil,Gratitude
189,அறன்நோக்கி ஆற்றுங்கொல் வையம் புறன்நோக்கிப் புன்சொல் உரைப்பான் பொறை.,Tamil,Gratitude
190,ஏதிலார் குற்றம்போல் தங்குற்றங் காண்கிற்பின் தீதுண்டோ மன்னும் உயிர்க்கு.,Tamil,Gratitude
191,பல்லார் முனியப் பயனில சொல்லுவான் எல்லாரும் எள்ளப் படும்.,Tamil,Joy
192,பயனில பல்லார்முன் சொல்லல் நயனில நட்டார்கண் செய்தலிற் றீது.,Tamil,Joy
193,நயனிலன் என்பது சொல்லும் பயனில பாரித் துரைக்கும் உரை.,Tamil,Joy
194,நயன்சாரா நன்மையின் நீக்கும் பயன்சாராப் பண்பில்சொல் பல்லா ரகத்து.,Tamil,Joy
195,சீர்மை சிறப்பொடு நீங்கும் பயனில நீர்மை யுடையார் சொலின்.,Tamil,Joy
196,பயனில் சொல் பராட்டு வானை மகன்எனல் மக்கட் பதடி யெனல்.,Tamil,Joy
197,நயனில சொல்லினுஞ் சொல்லுக சான்றோர் பயனில சொல்லாமை நன்று.,Tamil,Joy
198,அரும்பயன் ஆயும் அறிவினார் சொல்லார் பெரும்பயன் இல்லாத சொல்.,Tamil,Joy
199,பொருள்தீர்ந்த பொச்சாந்துஞ் சொல்லார் மருள்தீர்ந்த மாசறு காட்சி யவர்.,Tamil,Joy
200,சொல்லுக சொல்லிற் பயனுடைய சொல்லற்க சொல்லிற் பயனிலாச் சொல்.,Tamil,Joy
201,தீவினையார் அஞ்சார் விழுமியார் அஞ்சுவர் தீவினை என்னும் செருக்கு.,Tamil,Modesty
202,தீயவை தீய பயத்தலால் தீயவை தீயினும் அஞ்சப் படும்.,Tamil,Modesty
203,அறிவினுள் எல்லாந் தலையென்ப தீய செறுவார்க்கும் செய்யா விடல்.,Tamil,Modesty
204,மறந்தும் பிறன்கேடு சூழற்க சூழின் அறஞ்சூழம் சூழ்ந்தவன் கேடு.,Tamil,Modesty
205,இலன் என்று தீயவை செய்யற்க செய்யின் இலனாகும் மற்றும் பெயர்த்து.,Tamil,Modesty
206,தீப்பால தான்பிறர்கண் செய்யற்க நோய்ப்பால தன்னை அடல்வேண்டா தான்.,Tamil,Modesty
207,எனைப்பகை யுற்றாரும் உய்வர் வினைப்பகை வீயாது பின்சென்று அடும்.,Tamil,Modesty
208,தீயவை செய்தார் கெடுதல் நிழல்தன்னை வீயாது அஇஉறைந் தற்று.,Tamil,Modesty
209,தன்னைத்தான் காதல னாயின் எனைத்தொன்றும் துன்னற்க தீவினைப் பால்.,Tamil,Modesty
210,அருங்கேடன் என்பது அறிக மருங்கோடித் தீவினை செய்யான் எனின்.,Tamil,Modesty
211,கைம்மாறு வேண்டா கடப்பாடு மாரிமாட்டு என் ஆற்றுங் கொல்லோ உலகு.,Tamil,Humility
212,தாளாற்றித் தந்த பொருளெல்லாம் தக்கார்க்கு வேளாண்மை செய்தற் பொருட்டு.,Tamil,Humility
213,புத்தே ளுலகத்தும் ஈண்டும் பெறலரிதே ஒப்புரவின் நல்ல பிற.,Tamil,Humility
214,ஒத்த தறவோன் உயிர்வாழ்வான் மற்றையான் செத்தாருள் வைக்கப் படும்.,Tamil,Humility
215,ஊருணி நீர்நிறைந் தற்றே உலகவாம் பேரறி வாளன் திரு.,Tamil,Humility
216,பயன்மரம் உள்ளூர்ப் பழுத்தற்றால் செல்வம் நயனுடை யான்கண் படின்.,Tamil,Humility
